+1.06982e+10ns POS: x=210, y=130, z=0; VEL:0, y=0, z=0
+1.06982e+10ns POS: x=210, y=130, z=0; VEL:-50, y=0, z=0
+1.10703e+10ns POS: x=150, y=150, z=0; VEL:0, y=0, z=0
+1.10703e+10ns POS: x=150, y=150, z=0; VEL:0, y=-50.1734, z=0
+1.10836e+10ns POS: x=150, y=149.333, z=0; VEL:0, y=0, z=0
+1.10836e+10ns POS: x=150, y=149.333, z=0; VEL:0, y=-50.2473, z=0
+1.10982e+10ns POS: x=190, y=130, z=0; VEL:0, y=0, z=0
+1.10982e+10ns POS: x=190, y=130, z=0; VEL:0, y=-50, z=0
+1.11831e+10ns POS: x=150, y=144.333, z=0; VEL:0, y=0, z=0
+1.11831e+10ns POS: x=150, y=144.333, z=0; VEL:0, y=-50.011, z=0
+1.14982e+10ns POS: x=190, y=110, z=0; VEL:0, y=0, z=0
+1.14982e+10ns POS: x=190, y=110, z=0; VEL:50, y=0, z=0
+1.16919e+10ns POS: x=199.686, y=110, z=0; VEL:0, y=0, z=0
+1.16919e+10ns POS: x=199.686, y=110, z=0; VEL:50.0078, y=0, z=0
+1.18982e+10ns POS: x=210, y=110, z=0; VEL:0, y=0, z=0
+1.18982e+10ns POS: x=210, y=110, z=0; VEL:0, y=50.0078, z=0
+1.21829e+10ns POS: x=150, y=94.3328, z=0; VEL:0, y=0, z=0
+1.21829e+10ns POS: x=150, y=94.3328, z=0; VEL:0, y=-50.1493, z=0
+1.22693e+10ns POS: x=150, y=90, z=0; VEL:0, y=0, z=0
+1.22693e+10ns POS: x=150, y=90, z=0; VEL:50.1493, y=0, z=0
+1.22981e+10ns POS: x=210, y=130, z=0; VEL:0, y=0, z=0
+1.22981e+10ns POS: x=210, y=130, z=0; VEL:-50.0078, y=0, z=0
+1.23823e+10ns POS: x=155.667, y=90, z=0; VEL:0, y=0, z=0
+1.23823e+10ns POS: x=155.667, y=90, z=0; VEL:50, y=0, z=0
+1.25918e+10ns POS: x=195.314, y=130, z=0; VEL:0, y=0, z=0
+1.25918e+10ns POS: x=195.314, y=130, z=0; VEL:-50.0236, y=0, z=0
+1.26689e+10ns POS: x=170, y=90, z=0; VEL:0, y=0, z=0
+1.26689e+10ns POS: x=170, y=90, z=0; VEL:0, y=-50, z=0
+1.29916e+10ns POS: x=175.314, y=130, z=0; VEL:0, y=0, z=0
+1.29916e+10ns POS: x=175.314, y=130, z=0; VEL:-50, y=0, z=0
+1.34979e+10ns POS: x=150, y=130, z=0; VEL:0, y=0, z=0
+1.34979e+10ns POS: x=150, y=130, z=0; VEL:0, y=-50, z=0
+1.36823e+10ns POS: x=170, y=39.3328, z=0; VEL:0, y=0, z=0
+1.36823e+10ns POS: x=170, y=39.3328, z=0; VEL:0, y=-50, z=0
+1.38823e+10ns POS: x=170, y=29.3328, z=0; VEL:0, y=0, z=0
+1.38823e+10ns POS: x=170, y=29.3328, z=0; VEL:0, y=-50.2486, z=0
+1.38979e+10ns POS: x=150, y=110, z=0; VEL:0, y=0, z=0
+1.38979e+10ns POS: x=150, y=110, z=0; VEL:50, y=0, z=0
+1.41808e+10ns POS: x=170, y=14.3328, z=0; VEL:0, y=0, z=0
+1.41808e+10ns POS: x=170, y=14.3328, z=0; VEL:0, y=-50, z=0
+1.42675e+10ns POS: x=170, y=10, z=0; VEL:0, y=0, z=0
+1.42675e+10ns POS: x=170, y=10, z=0; VEL:50, y=0, z=0
+1.42979e+10ns POS: x=170, y=110, z=0; VEL:0, y=0, z=0
+1.42979e+10ns POS: x=170, y=110, z=0; VEL:0, y=50, z=0
+1.46675e+10ns POS: x=190, y=10, z=0; VEL:0, y=0, z=0
+1.46675e+10ns POS: x=190, y=10, z=0; VEL:0, y=50, z=0
+1.46979e+10ns POS: x=170, y=130, z=0; VEL:0, y=0, z=0
+1.46979e+10ns POS: x=170, y=130, z=0; VEL:50, y=0, z=0
+1.48808e+10ns POS: x=190, y=20.6672, z=0; VEL:0, y=0, z=0
+1.48808e+10ns POS: x=190, y=20.6672, z=0; VEL:0, y=50.297, z=0
+1.49916e+10ns POS: x=184.686, y=130, z=0; VEL:0, y=0, z=0
+1.49916e+10ns POS: x=184.686, y=130, z=0; VEL:50, y=0, z=0
+1.50664e+10ns POS: x=190, y=30, z=0; VEL:0, y=0, z=0
+1.50664e+10ns POS: x=190, y=30, z=0; VEL:50.297, y=0, z=0
+1.51916e+10ns POS: x=194.686, y=130, z=0; VEL:0, y=0, z=0
+1.51916e+10ns POS: x=194.686, y=130, z=0; VEL:50, y=0, z=0
+1.5464e+10ns POS: x=210, y=30, z=0; VEL:0, y=0, z=0
+1.5464e+10ns POS: x=210, y=30, z=0; VEL:0, y=50.297, z=0
+1.54979e+10ns POS: x=210, y=130, z=0; VEL:0, y=0, z=0
+1.54979e+10ns POS: x=210, y=130, z=0; VEL:0, y=50, z=0
+1.58616e+10ns POS: x=210, y=50, z=0; VEL:0, y=0, z=0
+1.58616e+10ns POS: x=210, y=50, z=0; VEL:-50.297, y=0, z=0
+1.58979e+10ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+1.58979e+10ns POS: x=210, y=150, z=0; VEL:-50, y=0, z=0
+1.60916e+10ns POS: x=200.314, y=150, z=0; VEL:0, y=0, z=0
+1.60916e+10ns POS: x=200.314, y=150, z=0; VEL:-50.0516, y=0, z=0
+1.61915e+10ns POS: x=195.314, y=150, z=0; VEL:0, y=0, z=0
+1.61915e+10ns POS: x=195.314, y=150, z=0; VEL:-50, y=0, z=0
+1.62593e+10ns POS: x=190, y=50, z=0; VEL:0, y=0, z=0
+1.62593e+10ns POS: x=190, y=50, z=0; VEL:0, y=50.297, z=0
+1.62978e+10ns POS: x=190, y=150, z=0; VEL:0, y=0, z=0
+1.62978e+10ns POS: x=190, y=150, z=0; VEL:0, y=-50, z=0
+1.70545e+10ns POS: x=190, y=90, z=0; VEL:0, y=0, z=0
+1.70545e+10ns POS: x=190, y=90, z=0; VEL:50.297, y=0, z=0
+1.72666e+10ns POS: x=200.667, y=90, z=0; VEL:0, y=0, z=0
+1.72666e+10ns POS: x=200.667, y=90, z=0; VEL:50.161, y=0, z=0
+1.74527e+10ns POS: x=210, y=90, z=0; VEL:0, y=0, z=0
+1.74527e+10ns POS: x=210, y=90, z=0; VEL:0, y=50.161, z=0
+1.74978e+10ns POS: x=190, y=90, z=0; VEL:0, y=0, z=0
+1.74978e+10ns POS: x=190, y=90, z=0; VEL:50, y=0, z=0
+1.75657e+10ns POS: x=210, y=95.6672, z=0; VEL:0, y=0, z=0
